No,Title,Author,Year,DOI
21,shifting contestation into cooperation strategy to incorporate different interest of actors in medicinal plants in meru betiri national park indonesia,"[{'AfN': 'bogor agricultural university', 'AuN': 'dodik ridho nurrochmat'}, {'AuN': 'ignatius adi nugroho'}, {'AfN': 'bogor agricultural university', 'AuN': 'hardjanto'}, {'AfN': 'university of indonesia', 'AuN': 'agus purwadianto'}, {'AfN': 'gadjah mada university', 'AuN': 'ahmad maryudi'}, {'AfN': 'university of michigan', 'AuN': 'james thomas erbaugh'}]",2017,10.1016/j.forpol.2017.08.005
22,evaluating 3d gaze tracking in virtual space a computer graphics approach,"[{'AfN': 'gadjah mada university', 'AuN': 'sunu wibirama'}, {'AfN': 'gadjah mada university', 'AuN': 'hanung adi nugroho'}, {'AfN': 'mediatech institute', 'AuN': 'kazuhiko hamamoto'}]",2017,10.1016/j.entcom.2017.04.003
23,the etiologies and clinical characteristics of patients hospitalized with an acute febrile illness and central nervous system sydromes in indonesia,"[{'AfN': 'gadjah mada university', 'AuN': 'abu tholib aman'}, {'AfN': 'diponegoro university', 'AuN': 'muhammad hussein gasem'}, {'AuN': 'emiliana tjitra'}, {'AuN': 'bachti alisjahbana'}, {'AuN': 'herman kosasih'}, {'AfN': 'udayana university', 'AuN': 'ketut tuti merati'}, {'AfN': 'hasanuddin university', 'AuN': 'mansyur arif'}, {'AuN': 'muhammad karyana'}, {'AuN': 'pratiwi sudarmono'}, {'AfN': 'airlangga university', 'AuN': 'suharto suharto'}, {'AuN': 'vivi lisdawati'}, {'AfN': 'national institutes of health', 'AuN': 'aaron t neal'}, {'AfN': 'national institutes of health', 'AuN': 'sophia siddiqui'}]",2017,10.1093/ofid/ofx163.706
24,quality attributes of dark chocolates formulated with palm sap based sugar as nutritious and natural alternative sweetener,"[{'AfN': 'ghent university', 'AuN': 'arifin dwi saputro'}, {'AfN': 'gadjah mada university', 'AuN': 'arifin dwi saputro'}, {'AfN': 'ghent university', 'AuN': 'davy van de walle'}, {'AfN': 'ghent university', 'AuN': 'roger philip aidoo'}, {'AfN': 'ghent university', 'AuN': 'michael amoafo mensah'}, {'AfN': 'ghent university', 'AuN': 'claudia delbaere'}, {'AfN': 'ghent university', 'AuN': 'nathalie de clercq'}, {'AfN': 'katholieke universiteit leuven', 'AuN': 'jim van durme'}, {'AfN': 'ghent university', 'AuN': 'koen dewettinck'}]",2017,10.1007/s00217-016-2734-9
25,green supply chain design a mathematical modeling approach based on a multi objective optimization model,"[{'AfN': 'university of minho', 'AuN': 'kartina puji nurjanni'}, {'AfN': 'gadjah mada university', 'AuN': 'kartina puji nurjanni'}, {'AfN': 'university of minho', 'AuN': 'maria sameiro carvalho'}, {'AfN': 'university of minho', 'AuN': 'lino costa'}]",2017,10.1016/j.ijpe.2016.08.028
26,passively versus actively detected malaria similar genetic diversity but different complexity of infection,"[{'AuN': 'zuleima pava'}, {'AuN': 'irene handayuni'}, {'AfN': 'eijkman institute for molecular biology', 'AuN': 'leily trianty'}, {'AfN': 'eijkman institute for molecular biology', 'AuN': 'retno a s utami'}, {'AfN': 'eijkman institute for molecular biology', 'AuN': 'yusrifar k tirta'}, {'AfN': 'eijkman institute for molecular biology', 'AuN': 'agatha m puspitasari'}, {'AfN': 'gadjah mada university', 'AuN': 'faustina h burdam'}, {'AuN': 'enny kenangalem'}, {'AuN': 'grennady wirjanata'}, {'AuN': 'steven kho'}, {'AfN': 'eijkman institute for molecular biology', 'AuN': 'hidayat trimarsanto'}, {'AuN': 'nicholas m anstey'}, {'AuN': 'jeanne rini poespoprodjo'}, {'AfN': 'eijkman institute for molecular biology', 'AuN': 'rintis noviyanti'}, {'AfN': 'university of oxford', 'AuN': 'ric n price'}, {'AuN': 'jutta marfurt'}, {'AuN': 'sarah auburn'}]",2017,10.4269/ajtmh.17-0364
27,towards understanding addiction factors of mobile devices an eye tracking study on effect of screen size,"[{'AfN': 'gadjah mada university', 'AuN': 'sunu wibirama'}, {'AfN': 'gadjah mada university', 'AuN': 'hanung adi nugroho'}]",2017,10.1109/EMBC.2017.8037353
28,mathematical modelling and statistical approach to assess the performance of anaerobic fixed bed reactor for biogas production from piyungan sanitary landfill leachate,"[{'AfN': 'gadjah mada university', 'AuN': 'hanifrahmawan sudibyo'}, {'AfN': 'gadjah mada university', 'AuN': 'zata lini shabrina'}, {'AfN': 'gadjah mada university', 'AuN': 'lenny halim'}, {'AfN': 'gadjah mada university', 'AuN': 'wiratni budhijanto'}]",2017,10.1016/j.egypro.2017.03.311
29,role of antimicrobial stewardship programmes in children a systematic review,"[{'AfN': 'federal fluminense university', 'AuN': 'a r araujo da silva'}, {'AfN': 'federal fluminense university', 'AuN': 'd c albernaz de almeida dias'}, {'AfN': 'federal fluminense university', 'AuN': 'a f marques'}, {'AfN': 'federal fluminense university', 'AuN': 'c biscaia di biase'}, {'AfN': 'gadjah mada university', 'AuN': 'i k murni'}, {'AfN': 'stellenbosch university', 'AuN': 'a dramowski'}, {'AfN': 'st george s university of london', 'AuN': 'mike sharland'}, {'AfN': 'ludwig maximilian university of munich', 'AuN': 'juergen huebner'}, {'AfN': 'university of geneva', 'AuN': 'walter zingg'}]",2017,10.1016/j.jhin.2017.08.003
30,analisis permintaan kedelai di indonesia,"[{'AuN': 'septi rostika anjani'}, {'AfN': 'gadjah mada university', 'AuN': 'dwidjono hadi darwanto'}, {'AfN': 'gadjah mada university', 'AuN': 'jangkung handoyo mulyo'}]",2017,10.20961/sepa.v12i1.14198
31,attribution of changes in the water balance of a tropical catchment to land use change using the swat model,"[{'AfN': 'university of twente', 'AuN': 'hero marhaento'}, {'AfN': 'gadjah mada university', 'AuN': 'hero marhaento'}, {'AfN': 'university of twente', 'AuN': 'martijn j booij'}, {'AfN': 'university of twente', 'AuN': 't h m rientjes'}, {'AfN': 'university of twente', 'AuN': 'arjen ysbert hoekstra'}, {'AfN': 'national university of singapore', 'AuN': 'arjen ysbert hoekstra'}]",2017,10.1002/hyp.11167
32,conversion of forests into oil palm plantations in west kalimantan indonesia insights from actors power and its dynamics,"[{'AfN': 'ministry of forestry', 'AuN': 'doni prabowo'}, {'AfN': 'gadjah mada university', 'AuN': 'doni prabowo'}, {'AfN': 'gadjah mada university', 'AuN': 'ahmad maryudi'}, {'AfN': 'gadjah mada university', 'AuN': 'senawi'}, {'AfN': 'gadjah mada university', 'AuN': 'muhammad ali imron'}]",2017,10.1016/j.forpol.2017.01.004
33,development of soymilk yogurt product using value engineering method,"[{'AfN': 'gadjah mada university', 'AuN': 'septiana nurul khotimah'}, {'AfN': 'gadjah mada university', 'AuN': 'darmawan ari'}, {'AfN': 'gadjah mada university', 'AuN': 'mirwan ushada'}, {'AfN': 'gadjah mada university', 'AuN': 'atris suyantohadi'}]",2017,10.1007/978-3-319-60363-6_61
34,removal of sodium diclofenac from aqueous solution by adsorbents derived from cocoa pod husks,"[{'AfN': 'university of the philippines diliman', 'AuN': 'mark daniel g de luna'}, {'AfN': 'university of the philippines diliman', 'AuN': 'murniati'}, {'AfN': 'gadjah mada university', 'AuN': 'wawan budianta'}, {'AfN': 'university of the philippines diliman', 'AuN': 'kim katrina p rivera'}, {'AfN': 'university of the philippines diliman', 'AuN': 'renato o arazo'}]",2017,10.1016/j.jece.2017.02.018
35,oil algae extraction of selected microalgae species grown in monoculture and mixed cultures for biodiesel production,"[{'AfN': 'gadjah mada university', 'AuN': 'yano surya pradana'}, {'AfN': 'gadjah mada university', 'AuN': 'hanifrahmawan sudibyo'}, {'AfN': 'gadjah mada university', 'AuN': 'eko agus suyono'}, {'AfN': 'gadjah mada university', 'AuN': 'indarto'}, {'AfN': 'gadjah mada university', 'AuN': 'arief budiman'}]",2017,10.1016/j.egypro.2017.03.314
36,sand dune conservation assessment in coastal area using alos palsar dinsar technique,"[{'AfN': 'gadjah mada university', 'AuN': 'ratih fitria putri'}, {'AuN': 'sunu wibirama'}, {'AuN': 's sukamdi'}, {'AuN': 'sri rum giarsih'}]",2017,10.4090/juee.2015.v11n1.9-29
37,infection and apoptosis associated with inflammation in periodontitis an immunohistologic study,"[{'AfN': 'gadjah mada university', 'AuN': 'dyah listyarifah'}, {'AfN': 'helsinki university central hospital', 'AuN': 'dyah listyarifah'}, {'AfN': 'helsinki university central hospital', 'AuN': 'ahmed alsamadi'}, {'AfN': 'helsinki university central hospital', 'AuN': 'abdelhakim salem'}, {'AfN': 'gadjah mada university', 'AuN': 'ahmad syaify'}, {'AfN': 'university of oulu', 'AuN': 'tuula salo'}, {'AfN': 'helsinki university central hospital', 'AuN': 'tuula salo'}, {'AfN': 'helsinki university central hospital', 'AuN': 'taina tervahartiala'}, {'AfN': 'laval university', 'AuN': 'daniel grenier'}, {'AfN': 'helsinki university central hospital', 'AuN': 'd nordstrom'}, {'AfN': 'karolinska institutet', 'AuN': 'timo sorsa'}, {'AfN': 'helsinki university central hospital', 'AuN': 'timo sorsa'}, {'AfN': 'helsinki university central hospital', 'AuN': 'mari ainola'}]",2017,10.1111/odi.12711
38,associations of early and later childhood poverty with child cognitive function in indonesia effect decomposition in the presence of exposure induced mediator outcome confounding,"[{'AfN': 'university of adelaide', 'AuN': 'amelia maika'}, {'AfN': 'gadjah mada university', 'AuN': 'amelia maika'}, {'AfN': 'university of adelaide', 'AuN': 'murthy n mittinty'}, {'AfN': 'university of adelaide', 'AuN': 'sally brinkman'}, {'AfN': 'university of adelaide', 'AuN': 'john lynch'}, {'AfN': 'university of bristol', 'AuN': 'john lynch'}]",2017,10.1093/aje/kww195
39,the utility of the hematoxylin and eosin staining in patients with suspected hirschsprung disease,"[{'AfN': 'gadjah mada university', 'AuN': 'josephine amanda setiadi'}, {'AfN': 'gadjah mada university', 'AuN': 'andi dwihantoro'}, {'AfN': 'gadjah mada university', 'AuN': 'kristy iskandar'}, {'AfN': 'gadjah mada university', 'AuN': 'didik setyo heriyanto'}, {'AfN': 'gadjah mada university', 'AuN': 'gunadi'}]",2017,10.1186/s12893-017-0267-1
40,technological evaluation of municipal solid waste management system in indonesia,"[{'AfN': 'gadjah mada university', 'AuN': 'hanifrahmawan sudibyo'}, {'AfN': 'gadjah mada university', 'AuN': 'akmal irfan majid'}, {'AfN': 'gadjah mada university', 'AuN': 'yano surya pradana'}, {'AfN': 'gadjah mada university', 'AuN': 'wiratni budhijanto'}, {'AfN': 'gadjah mada university', 'AuN': 'deendarlianto'}, {'AfN': 'gadjah mada university', 'AuN': 'arief budiman'}]",2017,10.1016/j.egypro.2017.03.312
41,evaluating the performance of kalman filter on elbow joint angle prediction based on electromyography,"[{'AfN': 'gadjah mada university', 'AuN': 'triwiyanto triwiyanto'}, {'AfN': 'gadjah mada university', 'AuN': 'oyas wahyunggoro'}, {'AfN': 'gadjah mada university', 'AuN': 'hanung adi nugroho'}, {'AfN': 'gadjah mada university', 'AuN': 'herianto herianto'}]",2017,10.1007/s12541-017-0202-5
